DataSetSize,CPU,RAM,Energy,V,I,TrainingTime
50,70.72,685.867625,717.55212,5.38,0.8,166.7175
100,76.16,691.7069,773.4657875,5.38,0.85,169.1375
200,78.88,693.72395,840.4649181,5.38,0.87,179.5635
400,78.88,694.30025,899.8383291,5.38,0.87,192.2485
600,81.6,692.33405,928.5584907,5.38,0.87,198.3845
800,84.32,693.75785,929.4548256,5.38,0.87,198.576
1000,89.76,696.8936,1020.635254,5.38,0.87,218.0565
1500,92.48,699.342875,1068.910962,5.38,0.87,228.3705
2000,95.2,700.280775,1109.206248,5.38,0.87,236.9795
2500,97.92,702.077475,1215.247347,5.38,0.87,259.63495
3000,100.64,705.631325,1238.02104,5.38,0.87,264.5005
3500,106.08,707.1766,1270.974805,5.38,0.87,271.541
4000,114.24,711.66835,1322.763303,5.38,0.87,282.6055
